Transaction_ID,Product_ID,Location_ID,Transaction_Type,Quantity,Unit_Cost,Transaction_Date,Reference_Number,Created_By_User
TXN-00001,CAB-014,JAP-036,ISSUE,-252,57.88,15-04-2025,IS-7961-20250415,auto_process
TXN-00002,ELE-101,CAN-047,ISSUE,-259,3388.64,05-07-2025,IS-3519-20250705,system_admin
TXN-00003,MIR-193,CAN-047,RECEIPT,307,504.21,03-06-2025,RE-1628-20250603,inventory_mgr
TXN-00004,ELE-090,USA-050,ISSUE,-120,3339.58,23-05-2025,IS-6951-20250523,inventory_mgr
TXN-00005,ELE-097,JAP-004,RECEIPT,145,6229.29,13-07-2025,RE-4188-20250713,system_admin
TXN-00006,MIR-192,UK-016,ISSUE,-78,1341.44,07-07-2025,IS-9963-20250707,auto_process
TXN-00007,CAB-015,CAN-031,ISSUE,-119,113.11,26-05-2025,IS-6460-20250526,store_keeper
TXN-00008,MIR-177,CAN-015,TRANSFER,-124,584.47,24-06-2025,TR-4850-20250624,system_admin
TXN-00009,MIR-167,USA-002,RECEIPT,109,874.41,17-02-2025,RE-9611-20250217,store_keeper
TXN-00010,LIG-046,USA-034,ISSUE,-86,949.05,28-04-2025,IS-2882-20250428,store_keeper
TXN-00011,MIR-176,JAP-036,RECEIPT,374,1067.44,01-03-2025,RE-5474-20250301,system_admin
TXN-00012,CAB-033,GER-035,TRANSFER,-119,69.29,30-07-2025,TR-9942-20250730,auto_process
TXN-00013,LIG-043,USA-010,TRANSFER,171,1974.26,09-07-2025,TR-5918-20250709,auto_process
TXN-00014,ELE-120,JAP-012,RECEIPT,229,5928.19,16-04-2025,RE-4487-20250416,inventory_mgr
TXN-00015,CAB-001,BRA-046,RECEIPT,178,65.5,25-03-2025,RE-9667-20250325,store_keeper
TXN-00016,LIG-041,GER-011,RECEIPT,346,1334.77,21-07-2025,RE-7228-20250721,system_admin
TXN-00017,CAB-039,BRA-030,ISSUE,-220,53.12,21-04-2025,IS-9325-20250421,inventory_mgr
TXN-00018,TYR-143,UK-032,RECEIPT,273,4930.58,27-03-2025,RE-9908-20250327,inventory_mgr
TXN-00019,LIG-053,GER-043,TRANSFER,-93,2372.87,19-02-2025,TR-6076-20250219,inventory_mgr
