
PRODUCT_ID,PRODUCT_NAME,CATEGORY,UNIT_COST,WEIGHT_KG,AUTOMOTIVE_GRADE,ACTIVE_STATUS,CREATED_DATE,LAST_UPDATED_DATE
CAB-001,Brake Cable for Suzuki Access,CABLES,65.57,0.293,Y,N,30-03-2024,31-03-2025
CAB-002,Handbrake Cable for Maruti Alto,CABLES,70.76,0.235,N,Y,22-04-2024,02-11-2025
CAB-003,Handbrake Cable for Royal Enfield,CABLES,40.28,0.244,N,N,23-05-2024,28-03-2025
CAB-004,Speedometer Cable for Bajaj Pulsar,CABLES,47.92,0.204,Y,N,31-03-2024,15-09-2025
CAB-005,Gear Shift Cable for Suzuki Access,CABLES,48.46,0.241,N,Y,24-10-2024,24-10-2025
CAB-006,Gear Shift Cable for Bajaj Pulsar,CABLES,61.8,0.202,N,N,15-08-2024,20-09-2025
CAB-007,Choke Cable for Yamaha FZ,CABLES,112.5,0.269,N,Y,02-09-2024,04-09-2025
CAB-008,Gear Shift Cable for Suzuki Access,CABLES,106.85,0.34,Y,N,15-09-2024,08-05-2025
CAB-009,Brake Cable for Honda Shine,CABLES,41.09,0.206,N,N,03-09-2024,01-01-2025
CAB-010,Clutch Cable for Tata Safari,CABLES,74.43,0.269,N,Y,13-05-2024,12-07-2025
CAB-011,Clutch Cable for Hero MotoCorp,CABLES,75.59,0.354,Y,Y,02-12-2024,10-12-2025
CAB-012,Handbrake Cable for Bajaj Pulsar,CABLES,94.58,0.309,Y,N,06-11-2024,21-05-2025
CAB-013,Accelerator Cable for Mahindra Scorpio,CABLES,117.12,0.205,N,Y,29-07-2024,16-04-2025
CAB-014,Brake Cable for Maruti Alto,CABLES,63.42,0.204,N,N,04-07-2024,25-10-2025
CAB-015,Clutch Cable for Tata Safari,CABLES,101.13,0.35,Y,Y,28-02-2024,19-11-2025
CAB-016,Clutch Cable for Bajaj Pulsar,CABLES,117.5,0.236,Y,Y,24-08-2024,30-10-2025
CAB-017,Gear Shift Cable for Maruti Alto,CABLES,102.24,0.299,N,N,20-04-2024,28-06-2025
CAB-018,Speedometer Cable for Bajaj Pulsar,CABLES,62.36,0.301,N,Y,17-01-2024,27-10-2025
CAB-019,Accelerator Cable for Hero MotoCorp,CABLES,60.13,0.341,Y,Y,01-04-2024,15-11-2025
CAB-020,Throttle Cable for Mahindra Scorpio,CABLES,64.88,0.383,N,N,18-05-2024,04-05-2025
CAB-021,Clutch Cable for Yamaha FZ,CABLES,71.69,0.36,N,N,12-10-2024,26-05-2025
CAB-022,Clutch Cable for Honda Shine,CABLES,109.69,0.275,Y,N,27-08-2024,13-04-2025
CAB-023,Throttle Cable for TVS Apache,CABLES,82.81,0.346,N,N,03-01-2024,07-05-2025
CAB-024,Handbrake Cable for Royal Enfield,CABLES,62.41,0.298,Y,Y,06-03-2024,18-03-2025
CAB-025,Speedometer Cable for Mahindra Scorpio,CABLES,45.62,0.373,Y,N,05-09-2024,30-05-2025
CAB-026,Gear Shift Cable for Tata Safari,CABLES,48.84,0.231,Y,Y,05-06-2024,19-06-2025
CAB-027,Gear Shift Cable for Hero MotoCorp,CABLES,113.68,0.241,N,Y,13-08-2024,27-01-2025
CAB-028,Handbrake Cable for TVS Apache,CABLES,109.76,0.31,N,N,06-03-2024,02-09-2025
CAB-029,Speedometer Cable for TVS Apache,CABLES,85.72,0.346,N,N,31-10-2024,02-07-2025
CAB-030,Accelerator Cable for Royal Enfield,CABLES,73.26,0.35,N,Y,11-12-2024,05-12-2025
CAB-031,Accelerator Cable for Maruti Alto,CABLES,100.59,0.31,Y,Y,14-08-2024,10-02-2025
CAB-032,Speedometer Cable for TVS Apache,CABLES,87.41,0.214,Y,Y,14-08-2024,25-07-2025
CAB-033,Brake Cable for Maruti Alto,CABLES,60.67,0.246,Y,Y,03-09-2024,17-02-2025
CAB-034,Choke Cable for Honda Shine,CABLES,80.14,0.259,Y,N,02-02-2024,06-02-2025
CAB-035,Speedometer Cable for Mahindra Scorpio,CABLES,116.51,0.254,Y,Y,04-02-2024,12-10-2025
CAB-036,Choke Cable for Honda Shine,CABLES,101.05,0.215,Y,N,18-10-2024,15-10-2025
CAB-037,Speedometer Cable for Hero MotoCorp,CABLES,51.23,0.32,Y,N,01-07-2024,30-11-2025
CAB-038,Gear Shift Cable for TVS Apache,CABLES,91.01,0.373,Y,Y,08-11-2024,30-08-2025
CAB-039,Clutch Cable for Honda Shine,CABLES,53.96,0.244,Y,N,05-11-2024,14-10-2025
CAB-040,Handbrake Cable for Bajaj Pulsar,CABLES,88.25,0.317,Y,Y,12-07-2024,21-09-2025
LIG-041,Number Plate Light for TVS Apache,LIGHTING,1460.14,0.977,N,N,12-04-2024,28-05-2025
LIG-042,Taillight Assembly for Mahindra Scorpio,LIGHTING,1368.38,1.103,Y,Y,22-09-2024,23-07-2025
LIG-043,Indicator Light Set for Yamaha FZ,LIGHTING,2150.87,0.858,Y,Y,08-04-2024,19-01-2025
LIG-044,Number Plate Light for Honda Shine,LIGHTING,2246.78,0.325,Y,Y,10-04-2024,06-02-2025
LIG-045,Halogen Headlight for Honda Shine,LIGHTING,399.31,1.032,N,Y,06-08-2024,05-01-2025
LIG-046,Taillight Assembly for TVS Apache,LIGHTING,931.31,0.875,N,N,06-07-2024,13-01-2025
LIG-047,Halogen Headlight for Mahindra Scorpio,LIGHTING,895.88,0.956,Y,N,21-07-2024,25-05-2025
LIG-048,Daytime Running Light for Mahindra Scorpio,LIGHTING,2342.45,0.768,N,Y,27-06-2024,02-12-2025
LIG-049,Daytime Running Light for Royal Enfield,LIGHTING,2063.68,0.842,N,Y,21-07-2024,30-12-2025
LIG-050,Fog Light Kit for Tata Safari,LIGHTING,1952.14,1.277,N,N,19-04-2024,23-05-2025
LIG-051,Taillight Assembly for TVS Apache,LIGHTING,550.58,0.357,N,N,23-05-2024,20-10-2025
LIG-052,Taillight Assembly for Mahindra Scorpio,LIGHTING,1416.74,1.44,Y,N,23-08-2024,17-07-2025
LIG-053,Fog Light Kit for Mahindra Scorpio,LIGHTING,2167.2,0.465,Y,N,15-05-2024,07-02-2025
LIG-054,Taillight Assembly for Hero MotoCorp,LIGHTING,1864.21,1.048,N,N,23-12-2024,09-06-2025
LIG-055,Indicator Light Set for Suzuki Access,LIGHTING,2465.85,1.372,Y,Y,28-03-2024,29-09-2025
LIG-056,Number Plate Light for Yamaha FZ,LIGHTING,2008.59,0.742,N,Y,18-09-2024,07-10-2025
LIG-057,Halogen Headlight for Royal Enfield,LIGHTING,1722.66,0.407,Y,Y,30-07-2024,26-04-2025
LIG-058,Number Plate Light for Tata Safari,LIGHTING,580.02,0.718,Y,N,05-10-2024,21-04-2025
LIG-059,Number Plate Light for Mahindra Scorpio,LIGHTING,389.91,0.54,Y,Y,02-12-2024,09-11-2025
LIG-060,Number Plate Light for Bajaj Pulsar,LIGHTING,613.9,0.372,Y,Y,23-07-2024,07-06-2025
LIG-061,Fog Light Kit for Honda Shine,LIGHTING,639.62,1.026,Y,Y,10-05-2024,12-04-2025
LIG-062,Daytime Running Light for Bajaj Pulsar,LIGHTING,2006.56,1.45,N,N,04-11-2024,28-10-2025
LIG-063,LED Headlight for Mahindra Scorpio,LIGHTING,621.99,1.045,Y,Y,19-06-2024,29-06-2025
LIG-064,Halogen Headlight for Suzuki Access,LIGHTING,1032.25,0.442,N,Y,04-10-2024,26-11-2025
LIG-065,Fog Light Kit for Hero MotoCorp,LIGHTING,2020.25,0.805,N,N,21-08-2024,24-04-2025
LIG-066,LED Headlight for Yamaha FZ,LIGHTING,1570.95,0.381,Y,N,07-02-2024,11-02-2025
LIG-067,Taillight Assembly for Royal Enfield,LIGHTING,1272.13,0.439,Y,Y,09-03-2024,29-08-2025
LIG-068,Halogen Headlight for Mahindra Scorpio,LIGHTING,2304.02,0.844,N,N,25-11-2024,23-01-2025
LIG-069,Taillight Assembly for Maruti Alto,LIGHTING,805.03,1.268,Y,N,10-07-2024,09-06-2025
LIG-070,Taillight Assembly for Royal Enfield,LIGHTING,882.28,0.579,N,N,19-02-2024,05-05-2025
LIG-071,Daytime Running Light for Suzuki Access,LIGHTING,359.42,0.647,Y,Y,01-03-2024,14-08-2025
LIG-072,LED Headlight for Mahindra Scorpio,LIGHTING,2093.66,0.424,N,Y,24-08-2024,21-03-2025
LIG-073,Daytime Running Light for Maruti Alto,LIGHTING,1255.19,0.369,N,N,24-10-2024,14-09-2025
LIG-074,Halogen Headlight for Honda Shine,LIGHTING,697.26,1.005,N,N,16-07-2024,04-09-2025
LIG-075,Taillight Assembly for TVS Apache,LIGHTING,2338.7,0.902,Y,Y,03-06-2024,26-05-2025
LIG-076,Taillight Assembly for Hero MotoCorp,LIGHTING,1367.23,0.518,Y,N,27-01-2024,10-09-2025
LIG-077,Halogen Headlight for Royal Enfield,LIGHTING,1067.82,1.473,N,N,05-11-2024,18-11-2025
LIG-078,Fog Light Kit for Maruti Alto,LIGHTING,515.41,0.906,N,N,19-02-2024,12-03-2025
LIG-079,Fog Light Kit for Honda Shine,LIGHTING,373.05,1.1,N,Y,03-02-2024,08-11-2025
LIG-080,Fog Light Kit for Maruti Alto,LIGHTING,1558.92,0.623,N,N,28-01-2024,27-12-2025
ELE-081,Alternator for Honda Shine,ELECTRONICS,7667.54,5.974,N,Y,28-08-2024,16-06-2025
ELE-082,Ignition Coil for Yamaha FZ,ELECTRONICS,2818.88,2.879,Y,Y,11-07-2024,13-03-2025
ELE-083,Fuel Pump for Bajaj Pulsar,ELECTRONICS,7100.87,4.624,N,N,08-12-2024,19-09-2025
ELE-084,Horn Assembly for Suzuki Access,ELECTRONICS,3169.7,6.441,N,Y,18-06-2024,21-05-2025
ELE-085,Starter Motor for Yamaha FZ,ELECTRONICS,3662.91,13.687,N,Y,12-11-2024,01-02-2025
ELE-086,Voltage Regulator for Hero MotoCorp,ELECTRONICS,5560.7,10.723,N,Y,07-07-2024,05-02-2025
ELE-087,Voltage Regulator for Honda Shine,ELECTRONICS,2024.35,13.482,Y,Y,23-10-2024,24-09-2025
ELE-088,12V Battery for Maruti Alto,ELECTRONICS,5236.48,11.977,Y,Y,16-04-2024,30-09-2025
ELE-089,12V Battery for Suzuki Access,ELECTRONICS,1873.46,6.709,Y,N,11-01-2024,19-12-2025
ELE-090,Fuel Pump for Maruti Alto,ELECTRONICS,3006.21,4.319,Y,N,27-04-2024,21-01-2025
ELE-091,12V Battery for Honda Shine,ELECTRONICS,3466.91,11.182,Y,N,11-01-2024,13-01-2025
ELE-092,Fuel Pump for Maruti Alto,ELECTRONICS,6497.07,12.11,Y,Y,25-04-2024,13-12-2025
ELE-093,Voltage Regulator for Bajaj Pulsar,ELECTRONICS,857.15,4.386,Y,Y,19-01-2024,07-02-2025
ELE-094,Ignition Coil for Mahindra Scorpio,ELECTRONICS,2278.8,7.998,N,N,15-10-2024,27-09-2025
ELE-095,Alternator for Royal Enfield,ELECTRONICS,3146.86,2.084,Y,N,17-11-2024,17-04-2025
